workload,config,audit,encryption,ttl,iteration,throughput_ops_sec
a,baseline,false,false,false,1,4363.001745200698
a,baseline,false,false,false,2,4568.296025582457
a,baseline,false,false,false,3,4504.504504504504
a,baseline,false,false,false,4,4434.589800443459
a,baseline,false,false,false,5,4662.004662004662
b,baseline,false,false,false,1,1779.3594306049822
b,baseline,false,false,false,2,1779.3594306049822
b,baseline,false,false,false,3,1727.1157167530225
b,baseline,false,false,false,4,1773.049645390071
b,baseline,false,false,false,5,2020.20202020202
c,baseline,false,false,false,1,1818.1818181818182
c,baseline,false,false,false,2,1773.049645390071
c,baseline,false,false,false,3,1805.0541516245487
c,baseline,false,false,false,4,1751.3134851138354
c,baseline,false,false,false,5,1934.2359767891683
d,baseline,false,false,false,1,1805.0541516245487
d,baseline,false,false,false,2,1893.939393939394
d,baseline,false,false,false,3,1788.9087656529516
d,baseline,false,false,false,4,1811.5942028985507
d,baseline,false,false,false,5,1683.5016835016836
e,baseline,false,false,false,1,1116.0714285714287
e,baseline,false,false,false,2,1084.5986984815618
e,baseline,false,false,false,3,1126.126126126126
e,baseline,false,false,false,4,1156.0693641618498
e,baseline,false,false,false,5,1108.6474501108648
f,baseline,false,false,false,1,1464.1288433382138
f,baseline,false,false,false,2,1466.275659824047
f,baseline,false,false,false,3,1470.5882352941176
f,baseline,false,false,false,4,1490.312965722802
f,baseline,false,false,false,5,1434.7202295552368
a,audit,true,false,false,1,3485.5350296270476
a,audit,true,false,false,2,3597.122302158273
a,audit,true,false,false,3,3505.082369435682
a,audit,true,false,false,4,3594.5363048166787
a,audit,true,false,false,5,3537.3187124159886
b,audit,true,false,false,1,1540.8320493066255
b,audit,true,false,false,2,1587.3015873015872
b,audit,true,false,false,3,1567.398119122257
b,audit,true,false,false,4,1655.6291390728477
b,audit,true,false,false,5,1499.2503748125937
c,audit,true,false,false,1,1642.0361247947455
c,audit,true,false,false,2,1582.2784810126582
c,audit,true,false,false,3,1623.3766233766235
c,audit,true,false,false,4,1587.3015873015872
c,audit,true,false,false,5,1607.717041800643
d,audit,true,false,false,1,1631.3213703099511
d,audit,true,false,false,2,1522.0700152207
d,audit,true,false,false,3,1531.3935681470139
d,audit,true,false,false,4,1675.0418760469013
d,audit,true,false,false,5,1501.5015015015015
e,audit,true,false,false,1,1071.8113612004288
e,audit,true,false,false,2,975.609756097561
e,audit,true,false,false,3,1092.896174863388
e,audit,true,false,false,4,1064.9627263045793
e,audit,true,false,false,5,983.284169124877
f,audit,true,false,false,1,1272.264631043257
f,audit,true,false,false,2,1290.3225806451612
f,audit,true,false,false,3,1278.772378516624
f,audit,true,false,false,4,1190.4761904761904
f,audit,true,false,false,5,1210.6537530266344
a,encryption,false,true,false,1,3916.9604386995693
a,encryption,false,true,false,2,3976.1431411530816
a,encryption,false,true,false,3,3972.983710766786
a,encryption,false,true,false,4,4108.463434675431
a,encryption,false,true,false,5,3903.2006245121
b,encryption,false,true,false,1,1146.788990825688
b,encryption,false,true,false,2,1160.092807424594
b,encryption,false,true,false,3,1162.7906976744187
b,encryption,false,true,false,4,1133.7868480725624
b,encryption,false,true,false,5,1180.637544273908
c,encryption,false,true,false,1,1201.923076923077
c,encryption,false,true,false,2,1175.0881316098707
c,encryption,false,true,false,3,1191.8951132300358
c,encryption,false,true,false,4,1204.8192771084337
c,encryption,false,true,false,5,1148.105625717566
d,encryption,false,true,false,1,1156.0693641618498
d,encryption,false,true,false,2,1137.6564277588168
d,encryption,false,true,false,3,1160.092807424594
d,encryption,false,true,false,4,1122.334455667789
d,encryption,false,true,false,5,1141.552511415525
e,encryption,false,true,false,1,729.3946024799417
e,encryption,false,true,false,2,693.9625260235947
e,encryption,false,true,false,3,706.7137809187279
e,encryption,false,true,false,4,726.2164124909223
e,encryption,false,true,false,5,728.3321194464676
