workload,config,audit,encryption,ttl,throughput_ops_sec
a,baseline,false,false,false,4506.47
b,baseline,false,false,false,1815.81
c,baseline,false,false,false,1816.36
d,baseline,false,false,false,1796.59
e,baseline,false,false,false,1118.30
f,baseline,false,false,false,1465.20
a,audit,true,false,false,3543.91
b,audit,true,false,false,1570.08
c,audit,true,false,false,1608.54
d,audit,true,false,false,1572.26
e,audit,true,false,false,1037.71
f,audit,true,false,false,1248.49
a,encryption,false,true,false,3975.55
b,encryption,false,true,false,1156.81
c,encryption,false,true,false,1184.36
d,encryption,false,true,false,1143.54
e,encryption,false,true,false,716.92
f,encryption,false,true,false,1001.09
a,ttl,false,false,true,4434.44
b,ttl,false,false,true,1746.20
c,ttl,false,false,true,1783.76
d,ttl,false,false,true,1811.29
e,ttl,false,false,true,1000.54
f,ttl,false,false,true,1425.49
a,all,true,true,true,3902.78
b,all,true,true,true,1178.21
c,all,true,true,true,1168.14
d,all,true,true,true,1134.38
e,all,true,true,true,643.07
f,all,true,true,true,975.51
