workload,config,audit,encryption,ttl,iteration,throughput_ops_sec
a,baseline,false,false,false,1,1891.7896329928112
a,baseline,false,false,false,2,1462.629808395495
a,baseline,false,false,false,3,1955.7989438685704
a,baseline,false,false,false,4,1924.557351809084
a,baseline,false,false,false,5,1743.3751743375174
b,baseline,false,false,false,1,722.0216606498195
b,baseline,false,false,false,2,800.0
b,baseline,false,false,false,3,667.5567423230974
b,baseline,false,false,false,4,798.7220447284345
b,baseline,false,false,false,5,738.0073800738007
c,baseline,false,false,false,1,734.7538574577517
c,baseline,false,false,false,2,491.4004914004914
c,baseline,false,false,false,3,740.1924500370096
c,baseline,false,false,false,4,808.4074373484236
c,baseline,false,false,false,5,741.2898443291327
d,baseline,false,false,false,1,719.4244604316547
d,baseline,false,false,false,2,831.9467554076539
d,baseline,false,false,false,3,845.30853761623
d,baseline,false,false,false,4,818.3306055646481
d,baseline,false,false,false,5,829.8755186721992
e,baseline,false,false,false,1,626.1740763932373
e,baseline,false,false,false,2,603.5003017501509
e,baseline,false,false,false,3,587.1990604815032
e,baseline,false,false,false,4,576.7012687427913
e,baseline,false,false,false,5,576.3688760806916
f,baseline,false,false,false,1,575.3739930955121
f,baseline,false,false,false,2,609.7560975609756
f,baseline,false,false,false,3,613.8735420503376
f,baseline,false,false,false,4,590.318772136954
f,baseline,false,false,false,5,527.7044854881267
a,audit,true,false,false,1,1646.0905349794239
a,audit,true,false,false,2,1617.0763260025874
a,audit,true,false,false,3,1578.5319652722967
a,audit,true,false,false,4,1627.8691193228065
a,audit,true,false,false,5,1563.232765358762
b,audit,true,false,false,1,738.0073800738007
b,audit,true,false,false,2,744.6016381236038
b,audit,true,false,false,3,664.0106241699867
b,audit,true,false,false,4,735.8351729212657
b,audit,true,false,false,5,747.9431563201197
c,audit,true,false,false,1,646.4124111182934
c,audit,true,false,false,2,634.5177664974619
c,audit,true,false,false,3,646.4124111182934
c,audit,true,false,false,4,739.6449704142012
c,audit,true,false,false,5,654.4502617801047
d,audit,true,false,false,1,734.7538574577517
d,audit,true,false,false,2,746.2686567164179
d,audit,true,false,false,3,766.8711656441718
d,audit,true,false,false,4,670.690811535882
d,audit,true,false,false,5,735.8351729212657
e,audit,true,false,false,1,529.3806246691371
e,audit,true,false,false,2,554.3237250554324
e,audit,true,false,false,3,580.3830528148578
e,audit,true,false,false,4,525.4860746190226
e,audit,true,false,false,5,564.3340857787811
f,audit,true,false,false,1,539.6654074473827
f,audit,true,false,false,2,517.8663904712585
f,audit,true,false,false,3,499.001996007984
f,audit,true,false,false,4,517.8663904712585
f,audit,true,false,false,5,517.3305742369374
a,encryption,false,true,false,1,1654.8072149594573
a,encryption,false,true,false,2,1682.085786375105
a,encryption,false,true,false,3,1651.2549537648613
a,encryption,false,true,false,4,1643.925694558606
a,encryption,false,true,false,5,1667.7785190126751
b,encryption,false,true,false,1,586.8544600938967
b,encryption,false,true,false,2,587.5440658049354
b,encryption,false,true,false,3,588.2352941176471
b,encryption,false,true,false,4,527.9831045406547
b,encryption,false,true,false,5,576.036866359447
