workload,config,throughput_ops_sec,throughput %,,,
a,Audit,1606.56,89.47054794,,,
a,Encrypt,1659.97,92.44499145,,,
a,TTL,2015.29,112.2330324,,,
a,Combined,1641.04,91.39076536,,,
b,Audit,726.07,97.42505971,,,
b,Encrypt,573.33,76.93019886,,,
b,TTL,785.91,105.4544723,,,92.21384218
b,Combined,548.13,73.5488286,,,75.77276525
c,Audit,664.28,94.46530148,,,101.772506
c,Encrypt,548.09,77.94226394,,,73.23697878
c,TTL,720.54,102.4658703,,,
c,Combined,516.47,73.44567691,,,
d,Audit,730.88,90.34698444,,,
d,Encrypt,535.16,66.15325661,,,
d,TTL,818.53,101.1817496,,,
d,Combined,540.59,66.82448051,,,
e,Audit,550.78,92.72702785,,,
e,Encrypt,395.14,66.52412539,,,
e,TTL,498.22,83.87824506,,,
e,Combined,359.11,60.45826459,,,
f,Audit,518.34,88.84813164,,,
f,Encrypt,435.46,74.64175523,,,
f,TTL,615.03,105.4216661,,,
f,Combined,430.28,73.7538567,,,
