workload,audit_logging,iteration,throughput_ops_sec
a,disabled,1,9140.767824497258
a,disabled,2,8779.63125548727
a,disabled,3,8695.652173913044
b,disabled,1,2801.1204481792715
b,disabled,2,2680.9651474530833
b,disabled,3,2645.5026455026455
c,disabled,1,2770.083102493075
c,disabled,2,2469.135802469136
c,disabled,3,2695.4177897574123
d,disabled,1,2604.1666666666665
d,disabled,2,2666.6666666666665
d,disabled,3,2481.3895781637716
e,disabled,1,1479.2899408284025
e,disabled,2,1555.2099533437015
e,disabled,3,1533.7423312883436
f,disabled,1,1865.6716417910447
f,disabled,2,2016.1290322580646
f,disabled,3,2136.7521367521367
a,enabled,1,6381.620931716656
a,enabled,2,6872.852233676976
a,enabled,3,7153.07582260372
b,enabled,1,2475.2475247524753
b,enabled,2,1615.5088852988692
b,enabled,3,2645.5026455026455
c,enabled,1,2375.296912114014
c,enabled,2,2450.9803921568628
c,enabled,3,2421.3075060532688
d,enabled,1,2506.2656641604012
d,enabled,2,2398.0815347721823
d,enabled,3,2132.1961620469083
e,enabled,1,1394.700139470014
e,enabled,2,1432.6647564469913
e,enabled,3,1287.001287001287
f,enabled,1,1754.3859649122808
f,enabled,2,2024.2914979757086
f,enabled,3,1984.126984126984
